date,origin_port,destination_port,cargo_type,freight_rate,bdi,oil_price,commodity_price,commodity_demand,weather_disruption,port_congestion,usd_index
2021-01-01,Shanghai,Los Angeles,Iron Ore,3101.74,1499.09,75.31,110.4,100.03,1,47.25,99.46
2021-01-02,Mumbai,Dubai,Steel,1895.21,1520.83,75.74,110.58,107.17,0,62.08,100.33
2021-01-03,Mumbai,Rotterdam,Coal,2134.44,1522.21,76.08,110.7,103.83,0,42.67,99.68
2021-01-04,Mumbai,Dubai,Iron Ore,2054.85,1535.91,76.4,111.17,96.57,0,28.08,100.32
2021-01-05,Mumbai,Dubai,Coal,1678.98,1541.85,76.62,111.44,95.66,0,29.33,99.32
2021-01-06,Singapore,Rotterdam,Iron Ore,2891.44,1555.24,76.88,111.83,105.12,0,48.93,102.08
2021-01-07,Mumbai,Rotterdam,Steel,2344.73,1559.43,77.27,111.84,103.18,0,59.48,102.62
2021-01-08,Mumbai,Rotterdam,Coal,2252.65,1566.66,77.28,111.74,102.22,1,52.23,100.35
2021-01-09,Mumbai,Rotterdam,Coal,2371.89,1575.5,77.43,112.02,97.31,2,66.33,98.54
2021-01-10,Mumbai,Dubai,Iron Ore,2351.27,1575.97,77.52,112.2,104.75,1,57.15,99.9
2021-01-11,Shanghai,Los Angeles,Coal,2562.21,1590.36,77.78,112.61,98.1,0,61.29,100.48
2021-01-12,Mumbai,Rotterdam,Iron Ore,2380.74,1594.68,78.16,112.84,101.54,0,10.76,101.58
2021-01-13,Mumbai,Dubai,Iron Ore,2298.9,1601.26,78.28,113.14,109.45,0,50.01,99.38
2021-01-14,Singapore,Rotterdam,Iron Ore,3026.32,1601.67,78.12,112.99,99.08,1,62.76,99.8
2021-01-15,Shanghai,Los Angeles,Iron Ore,3240.75,1589.51,78.26,113.71,94.69,3,43.92,101.79
2021-01-16,Singapore,Rotterdam,Steel,2540.57,1596.28,78.59,113.92,97.46,0,26.71,102.5
2021-01-17,Shanghai,Los Angeles,Iron Ore,3087.18,1623.84,78.87,114.34,107.85,0,27.24,100.22
2021-01-18,Mumbai,Dubai,Coal,1819.28,1638.33,79.13,114.38,104.32,0,29.07,99.22
2021-01-19,Shanghai,Rotterdam,Steel,2978.04,1646.34,79.29,114.7,102.57,1,40.77,106.21
2021-01-20,Shanghai,Los Angeles,Coal,2514.86,1652.36,79.29,114.62,100.83,1,51.64,102.52
2021-01-21,Singapore,Rotterdam,Steel,2805.6,1660.61,79.56,114.97,105.96,0,52.99,101.01
2021-01-22,Mumbai,Dubai,Iron Ore,2317.6,1673.01,79.63,115.13,99.45,2,72.22,102.78
2021-01-23,Shanghai,Los Angeles,Steel,2628.0,1671.53,80.15,115.37,105.38,0,27.43,101.35
2021-01-24,Shanghai,Rotterdam,Steel,3030.86,1688.35,80.42,115.78,100.36,2,43.33,102.91
2021-01-25,Shanghai,Rotterdam,Coal,3071.63,1701.92,80.52,115.71,99.68,2,75.74,101.91
2021-01-26,Mumbai,Rotterdam,Coal,2415.35,1715.45,80.62,115.77,101.14,1,57.7,101.87
2021-01-27,Mumbai,Rotterdam,Iron Ore,2617.7,1726.68,80.79,116.12,102.6,0,41.24,101.62
2021-01-28,Singapore,Rotterdam,Steel,2840.26,1734.5,80.94,116.87,104.39,0,47.1,99.68
2021-01-29,Shanghai,Los Angeles,Steel,3027.42,1747.47,81.29,117.07,105.96,0,39.55,104.82
2021-01-30,Shanghai,Los Angeles,Steel,2729.33,1759.72,81.5,117.44,86.49,0,47.87,100.56
2021-01-31,Mumbai,Rotterdam,Iron Ore,2789.46,1764.33,81.57,117.64,101.05,1,42.96,99.99
2021-02-01,Shanghai,Los Angeles,Iron Ore,3238.39,1767.11,82.03,118.34,103.27,0,44.03,101.77
2021-02-02,Shanghai,Los Angeles,Iron Ore,3196.15,1775.22,82.21,118.13,112.9,0,17.34,100.71
2021-02-03,Shanghai,Rotterdam,Iron Ore,3400.03,1794.82,82.5,118.37,100.12,1,37.68,102.13
2021-02-04,Mumbai,Rotterdam,Iron Ore,2555.06,1792.04,82.58,118.17,106.48,0,29.84,103.3
2021-02-05,Mumbai,Dubai,Coal,1885.45,1787.35,82.8,117.76,113.28,0,34.38,103.81
2021-02-06,Mumbai,Rotterdam,Steel,2532.46,1795.62,83.01,118.04,99.38,0,26.1,103.6
2021-02-07,Mumbai,Dubai,Steel,2142.38,1802.9,82.9,118.28,108.05,0,32.0,101.97
2021-02-08,Shanghai,Rotterdam,Steel,2923.59,1811.07,83.36,118.41,102.21,0,17.28,102.56
2021-02-09,Singapore,Rotterdam,Steel,2905.45,1819.72,83.72,118.59,103.83,1,56.23,103.15
2021-02-10,Shanghai,Los Angeles,Steel,2832.8,1824.53,83.81,119.56,102.47,0,38.76,99.96
2021-02-11,Shanghai,Rotterdam,Steel,3404.26,1842.95,83.8,119.69,102.95,2,30.42,103.5
2021-02-12,Shanghai,Los Angeles,Steel,2944.86,1836.54,84.01,120.01,120.35,0,27.48,100.51
2021-02-13,Singapore,Rotterdam,Steel,2914.01,1836.22,84.17,120.04,111.09,0,45.05,105.81
