date,Capesize,Panamax,Supramax
2024-01-02,30806,16974,16859
2024-01-03,29459,16491,16488
2024-01-04,29994,16190,16053
2024-01-05,30097,15757,15895
2024-01-08,29876,15577,15702
2024-01-09,26713,15206,15533
2024-01-10,24245,14791,15241
2024-01-11,21056,13930,14964
2024-01-12,19553,13530,14780
2024-01-15,17966,13271,14471
2024-01-16,16626,12743,14325
2024-01-17,16119,12894,14259
2024-01-18,16131,13149,13970
2024-01-19,18100,13790,13820
2024-01-22,20903,14237,13415
2024-01-23,20064,14245,13251
2024-01-24,18714,14414,13243
2024-01-25,19210,15081,13335
2024-01-26,18725,15333,13398
2024-01-29,18550,15417,13441
2024-01-30,16968,15401,13424
2024-01-31,16555,15001,13371
2024-02-01,17650,14660,13106
2024-02-02,18106,14362,12932
2024-02-05,18809,14193,12893
2024-02-06,20772,14284,12948
2024-02-07,21606,14598,13030
2024-02-08,19640,14624,13193
2024-02-13,22939,14457,13893
2024-02-14,22431,14459,13887
2024-02-15,22243,14787,13998
2024-02-16,22029,15179,14099
2024-02-19,22766,15549,14225
2024-02-20,23032,16653,14407
2024-02-21,22377,17225,14658
2024-02-22,24577,17252,14772
2024-02-23,26983,17125,14884
2024-02-26,29010,16950,14996
2024-02-27,28770,16809,15005
2024-02-28,30636,16773,15120
2024-02-29,33458,17214,15512
2024-03-04,38055,18042,15692
2024-03-05,39369,18986,15811
2024-03-06,37194,18972,15932
2024-03-07,36564,19116,16000
2024-03-08,38364,18849,15976
2024-03-11,40203,19018,15691
2024-03-12,39363,19089,15507
2024-03-13,37424,19147,15363
2024-03-14,37050,19729,15339
2024-03-15,36413,20184,15460
2024-03-18,36230,20691,15557
2024-03-19,38069,21135,15995
2024-03-20,36642,21166,16339
2024-03-21,34708,20581,16576
2024-03-22,34073,20183,16792
2024-03-25,32330,19903,16839
2024-03-26,29830,19496,16712
2024-03-27,26550,18871,16373
2024-03-28,24159,18161,16020
2024-03-29,24923,17314,15608
2024-04-01,25281,17220,15273
2024-04-02,24259,16872,15109
2024-04-03,23001,16589,14992
2024-04-04,24132,16441,14740
2024-04-05,22359,16101,14518
2024-04-08,21999,15848,14398
2024-04-09,21373,15143,14301
2024-04-11,23373,14822,14222
2024-04-12,25034,14974,14279
2024-04-15,25348,15242,14390
2024-04-16,25589,15493,14605
2024-04-17,26114,15460,14805
2024-04-18,28552,16462,15207
2024-04-19,29661,16921,15585
2024-04-22,29070,17113,15835
2024-04-23,27338,16977,16032
2024-04-24,25572,17406,16459
2024-04-25,24292,17206,16837
2024-04-26,23066,17164,17239
2024-04-29,22849,17123,17393
2024-04-30,22031,17017,17295
2024-05-02,23444,17013,16827
2024-05-03,25083,17246,16617
2024-05-07,28201,18493,16689
2024-05-08,31364,19346,16847
2024-05-09,32058,19738,17151
2024-05-10,30937,19676,17334
2024-05-13,30313,19846,17341
2024-05-14,28601,19734,17161
2024-05-16,25714,18839,16729
2024-05-17,25398,18643,16531
2024-05-20,25998,18460,16363
2024-05-21,25903,18510,16335
2024-05-22,25441,18527,16181
2024-05-23,24936,18583,16004
2024-05-24,24804,18489,15656
2024-05-27,25015,18498,15296
2024-05-28,25289,18498,15007
2024-05-29,24727,18096,14678
2024-05-30,25721,17667,14607
2024-05-31,26796,17463,14623
2024-06-03,27749,17315,14570
2024-06-04,27712,17078,14558
2024-06-05,28254,16957,14528
2024-06-07,29046,17079,14622
2024-06-10,29457,17242,14498
2024-06-11,28964,17081,14598
2024-06-12,27509,17270,14845
2024-06-13,29159,17496,15241
2024-06-14,29268,17684,15569
2024-06-17,28709,17962,15811
2024-06-18,28330,17986,15885
2024-06-19,29140,17918,15950
2024-06-20,28971,17579,16053
2024-06-21,30518,17422,16095
2024-06-24,30672,17106,16096
2024-06-25,29734,16759,16202
2024-06-26,29180,15959,16299
2024-06-27,31244,15649,16318
2024-06-28,32361,15504,16372
2024-07-01,33699,15353,16249
2024-07-02,37141,15365,15968
2024-07-03,35745,15052,15782
2024-07-04,32721,14890,15660
2024-07-05,31866,14747,15743
2024-07-08,30982,14594,15824
2024-07-09,30028,14436,15859
2024-07-10,28711,14441,16066
2024-07-11,29059,14689,16321
2024-07-12,29095,14968,16400
2024-07-15,29874,15041,16544
2024-07-16,29354,15624,16763
2024-07-17,27320,15666,16688
2024-07-18,26658,15436,16630
2024-07-19,27237,15396,16615
2024-07-22,27181,15391,16499
2024-07-23,27000,15393,16455
2024-07-24,25753,16177,16538
2024-07-25,25781,16177,16681
2024-07-26,25362,16496,16682
2024-07-29,24996,16474,16640
2024-07-30,24700,16452,16612
2024-07-31,24271,16264,16446
2024-08-01,23551,16024,16262
2024-08-02,23263,15834,16158
2024-08-05,23676,15788,16022
2024-08-06,24031,15672,15990
2024-08-07,24375,15553,15833
2024-08-08,25432,15271,15709
2024-08-09,24893,15138,15651
2024-08-12,24856,15035,15592
2024-08-13,24879,14729,15511
2024-08-14,26270,14682,15554
2024-08-16,26199,14783,15644
2024-08-19,26549,14832,15677
2024-08-20,27136,14743,15759
2024-08-21,27949,14604,15819
2024-08-22,28443,14434,15833
2024-08-23,28459,14249,15786
2024-08-26,28651,14116,15868
2024-08-27,28533,14014,15838
2024-08-28,28588,13786,15828
2024-08-29,30349,13552,15811
