date,bdi,bci,bsi,bhsi,data_source
2023-09-12,1500,1866,1170,949,SYNTHETIC
2023-09-13,1488,1765,1141,858,SYNTHETIC
2023-09-14,1474,1841,985,766,SYNTHETIC
2023-09-15,1466,1784,1150,911,SYNTHETIC
2023-09-16,1523,1853,1202,773,SYNTHETIC
2023-09-17,1513,2026,1229,847,SYNTHETIC
2023-09-18,1392,1728,992,716,SYNTHETIC
2023-09-19,1422,1912,1039,786,SYNTHETIC
2023-09-20,1403,1891,1096,783,SYNTHETIC
2023-09-21,1389,1712,955,725,SYNTHETIC
2023-09-22,1401,1824,1086,843,SYNTHETIC
2023-09-23,1423,1694,1081,904,SYNTHETIC
2023-09-24,1518,1879,1199,720,SYNTHETIC
2023-09-25,1570,2111,1212,781,SYNTHETIC
2023-09-26,1577,1863,1199,884,SYNTHETIC
2023-09-27,1515,1771,1286,958,SYNTHETIC
2023-09-28,1434,1781,965,884,SYNTHETIC
2023-09-29,1455,1819,1155,803,SYNTHETIC
2023-09-30,1562,1881,1276,1009,SYNTHETIC
2023-10-01,1563,1874,1188,823,SYNTHETIC
2023-10-02,1553,2072,1167,972,SYNTHETIC
2023-10-03,1594,2108,1124,969,SYNTHETIC
2023-10-04,1475,1818,1234,813,SYNTHETIC
2023-10-05,1450,1906,1025,739,SYNTHETIC
2023-10-06,1491,1890,1267,817,SYNTHETIC
2023-10-07,1561,1842,1183,810,SYNTHETIC
2023-10-08,1540,1941,1168,833,SYNTHETIC
2023-10-09,1569,1905,1079,925,SYNTHETIC
2023-10-10,1587,2006,1105,960,SYNTHETIC
2023-10-11,1647,1908,1316,973,SYNTHETIC
2023-10-12,1553,2038,1129,905,SYNTHETIC
2023-10-13,1597,2099,1351,877,SYNTHETIC
2023-10-14,1473,1705,1105,837,SYNTHETIC
2023-10-15,1264,1674,1043,680,SYNTHETIC
2023-10-16,1223,1535,906,727,SYNTHETIC
2023-10-17,1158,1426,904,556,SYNTHETIC
2023-10-18,1238,1540,1045,641,SYNTHETIC
2023-10-19,1299,1674,1013,806,SYNTHETIC
2023-10-20,1208,1595,992,635,SYNTHETIC
2023-10-21,1284,1558,1019,773,SYNTHETIC
2023-10-22,1210,1603,795,561,SYNTHETIC
2023-10-23,1212,1547,1011,787,SYNTHETIC
