date,iron_ore_usd_t,coal_usd_t,grain_usd_t,bauxite_usd_t,fertilizer_usd_t,data_source
2023-09-12,105.0,140.0,220.0,55.0,380.0,SYNTHETIC
2023-09-13,103.69,143.5,215.59,55.78,368.88,SYNTHETIC
2023-09-14,100.73,150.38,203.0,56.76,371.47,SYNTHETIC
2023-09-15,100.53,152.2,197.81,56.99,373.05,SYNTHETIC
2023-09-16,93.4,149.08,200.37,59.56,348.33,SYNTHETIC
2023-09-17,87.05,144.49,209.21,56.68,350.51,SYNTHETIC
2023-09-18,91.67,139.79,218.59,56.57,360.66,SYNTHETIC
2023-09-19,93.43,137.36,221.19,51.96,349.57,SYNTHETIC
2023-09-20,96.79,141.54,225.95,51.21,356.48,SYNTHETIC
2023-09-21,93.42,138.19,207.29,55.33,364.84,SYNTHETIC
2023-09-22,89.56,139.94,209.45,52.75,365.4,SYNTHETIC
2023-09-23,89.25,144.46,209.98,50.61,379.3,SYNTHETIC
2023-09-24,95.25,141.62,208.07,50.59,387.0,SYNTHETIC
2023-09-25,95.84,147.45,203.71,52.45,406.24,SYNTHETIC
2023-09-26,96.85,149.79,210.28,53.89,408.83,SYNTHETIC
2023-09-27,101.81,151.84,218.5,52.84,420.74,SYNTHETIC
2023-09-28,103.42,151.39,232.29,56.3,418.2,SYNTHETIC
2023-09-29,104.2,152.15,230.62,56.15,425.56,SYNTHETIC
2023-09-30,105.93,146.68,224.78,58.39,428.75,SYNTHETIC
2023-10-01,105.14,141.48,237.86,61.48,433.07,SYNTHETIC
2023-10-02,111.43,142.94,235.17,59.32,440.9,SYNTHETIC
2023-10-03,110.82,148.23,231.15,56.2,435.88,SYNTHETIC
2023-10-04,107.76,146.64,221.16,57.24,430.91,SYNTHETIC
2023-10-05,110.4,149.49,224.07,57.55,408.26,SYNTHETIC
2023-10-06,114.02,147.87,228.21,57.54,410.43,SYNTHETIC
2023-10-07,111.86,142.98,233.91,58.0,395.75,SYNTHETIC
2023-10-08,114.55,142.98,235.12,57.71,386.19,SYNTHETIC
2023-10-09,118.57,145.21,238.55,60.75,381.46,SYNTHETIC
2023-10-10,104.76,140.95,241.97,54.56,389.29,SYNTHETIC
2023-10-11,97.87,137.36,245.02,57.11,396.0,SYNTHETIC
2023-10-12,99.69,134.45,252.64,57.56,401.23,SYNTHETIC
2023-10-13,96.13,135.69,257.79,57.23,398.64,SYNTHETIC
2023-10-14,103.14,126.95,258.17,55.21,401.65,SYNTHETIC
2023-10-15,104.49,128.92,253.46,57.67,390.52,SYNTHETIC
2023-10-16,104.1,130.77,258.24,55.27,408.77,SYNTHETIC
2023-10-17,104.37,132.23,253.24,55.48,427.65,SYNTHETIC
2023-10-18,102.87,129.05,251.38,57.74,419.49,SYNTHETIC
2023-10-19,100.37,131.0,245.58,54.35,403.79,SYNTHETIC
2023-10-20,101.0,124.61,259.87,55.0,389.39,SYNTHETIC
2023-10-21,105.13,120.43,252.08,55.62,378.07,SYNTHETIC
2023-10-22,98.94,125.71,255.93,56.46,366.92,SYNTHETIC
2023-10-23,100.08,118.1,259.77,55.49,370.83,SYNTHETIC
2023-10-24,98.43,114.78,264.91,56.65,373.19,SYNTHETIC
2023-10-25,98.97,111.94,263.51,58.68,383.5,SYNTHETIC
2023-10-26,96.14,116.54,263.01,57.97,385.59,SYNTHETIC
2023-10-27,96.98,108.49,260.56,62.05,388.01,SYNTHETIC
2023-10-28,92.93,105.74,240.52,59.57,384.25,SYNTHETIC
2023-10-29,93.21,100.08,234.66,58.08,402.89,SYNTHETIC
2023-10-30,92.52,111.01,243.84,60.39,421.76,SYNTHETIC
2023-10-31,86.23,110.08,237.53,59.79,411.43,SYNTHETIC
2023-11-01,88.47,107.71,238.04,57.77,414.43,SYNTHETIC
2023-11-02,77.72,109.2,256.05,56.79,410.63,SYNTHETIC
2023-11-03,77.04,115.15,248.37,59.77,406.86,SYNTHETIC
2023-11-04,71.92,103.33,244.13,61.21,399.57,SYNTHETIC
2023-11-05,73.94,97.76,241.76,59.17,385.38,SYNTHETIC
2023-11-06,73.53,100.13,227.23,55.3,382.0,SYNTHETIC
2023-11-07,77.74,97.35,220.97,58.28,393.26,SYNTHETIC
2023-11-08,77.75,89.76,210.95,58.67,409.51,SYNTHETIC
2023-11-09,77.72,86.76,214.98,57.71,420.27,SYNTHETIC
2023-11-10,83.02,89.03,213.38,55.81,421.18,SYNTHETIC
2023-11-11,81.82,92.26,198.62,51.64,436.5,SYNTHETIC
2023-11-12,82.4,105.21,204.83,49.1,434.43,SYNTHETIC
2023-11-13,88.78,96.24,212.01,49.88,431.86,SYNTHETIC
2023-11-14,91.91,88.45,209.68,49.05,414.89,SYNTHETIC
2023-11-15,100.23,85.0,216.56,52.52,428.43,SYNTHETIC
2023-11-16,102.21,92.21,220.76,54.43,439.61,SYNTHETIC
2023-11-17,100.18,88.03,214.34,53.26,427.0,SYNTHETIC
2023-11-18,104.62,85.0,216.45,51.46,410.97,SYNTHETIC
2023-11-19,108.32,91.25,217.83,54.15,434.25,SYNTHETIC
2023-11-20,107.13,88.03,212.04,53.43,435.88,SYNTHETIC
2023-11-21,109.23,96.02,205.05,58.76,421.84,SYNTHETIC
2023-11-22,108.77,98.41,208.28,58.84,417.3,SYNTHETIC
2023-11-23,110.65,95.48,224.72,55.99,423.47,SYNTHETIC
2023-11-24,110.61,101.96,224.34,51.88,435.49,SYNTHETIC
2023-11-25,109.92,107.81,225.7,50.5,444.09,SYNTHETIC
2023-11-26,116.53,117.63,218.18,53.53,462.11,SYNTHETIC
2023-11-27,118.01,115.71,216.41,53.08,469.19,SYNTHETIC
2023-11-28,112.3,114.41,215.08,48.14,472.84,SYNTHETIC
2023-11-29,112.91,123.88,212.57,47.1,485.67,SYNTHETIC
2023-11-30,111.48,130.95,208.17,46.76,477.55,SYNTHETIC
2023-12-01,112.54,132.72,208.13,49.75,468.58,SYNTHETIC
2023-12-02,113.27,127.8,204.49,50.77,449.86,SYNTHETIC
2023-12-03,114.49,121.82,213.57,50.6,457.64,SYNTHETIC
2023-12-04,107.41,113.69,228.08,51.34,447.67,SYNTHETIC
2023-12-05,101.07,108.4,222.55,55.9,449.37,SYNTHETIC
2023-12-06,106.79,107.95,219.94,57.99,449.22,SYNTHETIC
2023-12-07,106.63,101.6,222.98,56.42,443.78,SYNTHETIC
2023-12-08,111.93,106.88,226.99,57.75,437.65,SYNTHETIC
2023-12-09,113.83,92.24,221.47,59.93,448.38,SYNTHETIC
2023-12-10,111.43,88.63,217.44,64.44,466.48,SYNTHETIC
2023-12-11,104.48,85.83,221.61,64.73,459.72,SYNTHETIC
2023-12-12,106.54,90.84,210.1,63.79,448.76,SYNTHETIC
2023-12-13,108.56,95.21,225.85,64.24,470.53,SYNTHETIC
2023-12-14,115.46,88.95,227.81,63.01,469.8,SYNTHETIC
2023-12-15,114.34,91.6,225.49,63.07,461.31,SYNTHETIC
2023-12-16,114.36,86.54,224.3,61.22,455.72,SYNTHETIC
2023-12-17,106.85,89.63,216.68,61.08,464.46,SYNTHETIC
2023-12-18,104.37,85.0,229.38,57.98,461.73,SYNTHETIC
2023-12-19,105.37,87.14,228.56,59.58,461.22,SYNTHETIC
2023-12-20,103.96,97.27,225.3,61.04,444.12,SYNTHETIC
2023-12-21,100.5,110.58,237.47,57.56,433.5,SYNTHETIC
2023-12-22,106.31,117.84,244.26,58.98,445.79,SYNTHETIC
2023-12-23,112.68,112.2,242.29,57.74,449.5,SYNTHETIC
2023-12-24,108.18,109.78,244.79,60.48,460.22,SYNTHETIC
2023-12-25,108.48,104.94,241.85,62.32,438.19,SYNTHETIC
2023-12-26,106.66,102.16,238.77,64.27,430.04,SYNTHETIC
2023-12-27,112.55,92.62,236.75,65.17,432.76,SYNTHETIC
2023-12-28,113.27,90.02,238.41,62.78,439.76,SYNTHETIC
2023-12-29,115.41,97.98,245.61,58.39,463.54,SYNTHETIC
2023-12-30,111.36,112.44,258.81,58.56,464.28,SYNTHETIC
2023-12-31,116.48,115.74,242.63,55.91,451.89,SYNTHETIC
2024-01-01,114.94,117.57,258.32,56.26,441.33,SYNTHETIC
2024-01-02,122.09,122.17,264.53,53.25,424.02,SYNTHETIC
2024-01-03,125.95,113.13,263.53,54.86,439.27,SYNTHETIC
2024-01-04,122.72,108.73,259.43,55.9,436.24,SYNTHETIC
2024-01-05,124.3,114.34,245.37,53.31,427.42,SYNTHETIC
2024-01-06,124.69,113.58,253.1,51.43,440.24,SYNTHETIC
2024-01-07,123.21,112.03,244.61,52.38,455.2,SYNTHETIC
2024-01-08,125.66,117.85,248.56,54.23,449.88,SYNTHETIC
2024-01-09,124.94,106.96,244.94,54.71,442.25,SYNTHETIC
2024-01-10,124.45,114.79,232.94,53.33,444.5,SYNTHETIC
