date,origin,destination,cargo_type,vessel_type,freight_rate_usd_mt,bdi,oil_price,commodity_price,distance_nm,data_source
2023-09-12,Paradip,Rotterdam,iron_ore,Panamax,12.84,1500,80.0,105.0,4800,SYNTHETIC
2023-09-12,Port Hedland,Qingdao,iron_ore,Capesize,7.76,1500,80.0,105.0,4000,SYNTHETIC
2023-09-12,Port Hedland,Gangavaram,coal,Capesize,8.49,1500,80.0,140.0,3800,SYNTHETIC
2023-09-12,Samarinda,Gangavaram,coal,Panamax,10.87,1500,80.0,140.0,2200,SYNTHETIC
2023-09-12,Samarinda,Shanghai,coal,Supramax,13.53,1500,80.0,140.0,2600,SYNTHETIC
2023-09-12,Paradip,Rotterdam,grain,Supramax,15.7,1500,80.0,220.0,4800,SYNTHETIC
2023-09-12,Paradip,Singapore,steel_coils,Handysize,27.22,1500,80.0,220.0,1900,SYNTHETIC
2023-09-12,Dhamra,Singapore,steel_coils,Handymax,25.31,1500,80.0,220.0,2100,SYNTHETIC
2023-09-12,Richards Bay,Rotterdam,coal,Panamax,14.47,1500,80.0,140.0,5200,SYNTHETIC
2023-09-12,Newcastle,Qingdao,coal,Panamax,13.04,1500,80.0,140.0,4200,SYNTHETIC
2023-09-12,Baltimore,Rotterdam,grain,Handymax,23.38,1500,80.0,220.0,3400,SYNTHETIC
2023-09-12,Norfolk,Rotterdam,grain,Panamax,18.85,1500,80.0,220.0,3300,SYNTHETIC
2023-09-12,Paradip,Rotterdam,iron_ore,Handymax,17.52,1500,80.0,105.0,4800,SYNTHETIC
2023-09-12,Visakhapatnam,Rotterdam,iron_ore,Panamax,11.53,1500,80.0,105.0,4700,SYNTHETIC
2023-09-12,Port Hedland,Rotterdam,iron_ore,Capesize,6.3,1500,80.0,105.0,8200,SYNTHETIC
2023-09-19,Paradip,Rotterdam,iron_ore,Panamax,11.06,1422,91.58,93.43,4800,SYNTHETIC
2023-09-19,Port Hedland,Qingdao,iron_ore,Capesize,6.65,1422,91.58,93.43,4000,SYNTHETIC
2023-09-19,Port Hedland,Gangavaram,coal,Capesize,7.52,1422,91.58,137.36,3800,SYNTHETIC
