port_name,vessels_working,vessels_waiting,congestion_score,average_waiting_days,congestion_forecast_7d,congestion_forecast_15d,congestion_forecast_30d,data_source
Paradip,9,6,48.8,2.2,47.0,56.0,43.6,SYNTHETIC
Visakhapatnam,10,8,68.7,3.4,75.9,70.5,68.1,SYNTHETIC
Gangavaram,5,6,64.8,2.2,64.8,70.4,56.9,SYNTHETIC
Gopalpur,6,1,23.0,1.2,30.3,25.6,31.9,SYNTHETIC
Dhamra,8,2,27.0,1.4,22.1,23.1,41.7,SYNTHETIC
Haldia,6,7,77.6,4.1,78.6,70.6,69.1,SYNTHETIC
Sagar-Sandheads,4,5,68.7,2.3,76.5,79.6,74.5,SYNTHETIC
Rotterdam,3,1,40.4,2.3,46.1,34.0,39.9,SYNTHETIC
Port Hedland,7,2,53.5,5.0,52.8,56.0,46.9,SYNTHETIC
Newcastle,4,3,62.8,2.9,68.5,57.3,76.2,SYNTHETIC
Hay Point,10,0,31.7,2.2,34.5,38.6,36.1,SYNTHETIC
Qingdao,12,1,42.5,4.4,39.8,38.1,34.4,SYNTHETIC
Shanghai,10,8,81.0,5.3,79.0,78.2,92.2,SYNTHETIC
Singapore,10,2,49.0,4.0,44.1,57.7,46.1,SYNTHETIC
Samarinda,8,3,42.0,1.7,42.0,50.3,44.4,SYNTHETIC
Tanjung Bara,3,0,26.5,1.8,26.7,27.4,22.9,SYNTHETIC
Richards Bay,6,4,55.1,2.1,54.2,62.4,62.3,SYNTHETIC
Maputo,4,3,53.7,1.4,49.7,54.5,67.7,SYNTHETIC
Baltimore,7,1,39.6,2.4,46.0,47.4,42.0,SYNTHETIC
Norfolk,6,3,47.7,2.5,51.3,51.9,43.3,SYNTHETIC
Ust-Luga,10,3,47.2,2.6,46.7,52.5,53.9,SYNTHETIC
Vostochny,5,5,70.7,2.2,69.1,71.0,79.0,SYNTHETIC
Port_Alpha,6,1,27.9,0.9,31.4,20.0,29.4,SYNTHETIC
Port_Beta,2,0,19.3,0.5,27.0,31.1,21.1,SYNTHETIC
Port_Gamma,7,3,32.4,1.2,38.5,32.7,35.5,SYNTHETIC
