date,port,berthed_vessels,waiting_vessels,congestion_score,congestion_level,source
2026-06-18,Paradip,19,9,32.14,High,https://www.paradipport.gov.in/uploads/2026/06/dtr1806.pdf
2026-06-19,Paradip,15,14,48.28,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr1906.pdf
2026-06-20,Paradip,22,14,38.89,High,https://www.paradipport.gov.in/uploads/2026/06/dtr2006.pdf
2026-06-21,Paradip,20,15,42.86,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2106.pdf
2026-06-22,Paradip,22,20,47.62,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2206.pdf
2026-06-23,Paradip,23,20,46.51,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2306.pdf
2026-06-24,Paradip,23,21,47.73,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2406.pdf
2026-06-25,Paradip,25,20,44.44,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2506.pdf
2026-06-26,Paradip,23,20,46.51,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2606.pdf
2026-06-27,Paradip,23,18,43.9,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2706.pdf
2026-06-28,Paradip,24,23,48.94,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2806.pdf
2026-06-29,Paradip,28,21,42.86,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr2906.pdf
2026-06-30,Paradip,23,19,45.24,Severe,https://www.paradipport.gov.in/uploads/2026/06/dtr3006.pdf
2026-07-01,Paradip,23,17,42.5,Severe,https://www.paradipport.gov.in/uploads/2026/07/DTR0107.pdf
2026-07-02,Paradip,23,20,46.51,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0207.pdf
2026-07-03,Paradip,23,20,46.51,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0307.pdf
2026-07-04,Paradip,23,23,50.0,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0407.pdf
2026-07-05,Paradip,23,19,45.24,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0507.pdf
2026-07-06,Paradip,19,29,60.42,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0607.pdf
2026-07-07,Paradip,17,34,66.67,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0707.pdf
2026-07-08,Paradip,18,31,63.27,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0807.pdf
2026-07-09,Paradip,22,29,56.86,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr0907.pdf
2026-07-10,Paradip,28,33,54.1,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1007.pdf
2026-07-11,Paradip,27,29,51.79,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1107.pdf
2026-07-12,Paradip,31,23,42.59,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1207.pdf
2026-07-13,Paradip,23,25,52.08,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1307.pdf
2026-07-14,Paradip,24,21,46.67,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1407.pdf
2026-07-15,Paradip,22,23,51.11,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1507.pdf
2026-07-16,Paradip,20,23,53.49,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1607.pdf
2026-07-17,Paradip,24,27,52.94,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1707.pdf
2026-07-18,Paradip,23,29,55.77,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1807.pdf
2026-07-19,Paradip,28,29,50.88,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr1907.pdf
2026-07-20,Paradip,21,29,58.0,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2007.pdf
2026-07-21,Paradip,26,27,50.94,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2107.pdf
2026-07-22,Paradip,23,29,55.77,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2207.pdf
2026-07-23,Paradip,23,27,54.0,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2307.pdf
2026-07-24,Paradip,24,35,59.32,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2407.pdf
2026-07-25,Paradip,23,39,62.9,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2507.pdf
2026-07-26,Paradip,26,34,56.67,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2607.pdf
2026-07-27,Paradip,23,32,58.18,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2707.pdf
2026-07-28,Paradip,25,32,56.14,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2807.pdf
2026-07-29,Paradip,20,34,62.96,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr2907.pdf
2026-07-30,Paradip,21,37,63.79,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr3007.pdf
2026-07-31,Paradip,21,38,64.41,Severe,https://www.paradipport.gov.in/uploads/2026/07/dtr3107.pdf
2026-08-01,Paradip,22,37,62.71,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0108.pdf
2026-08-02,Paradip,26,34,56.67,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0208.pdf
2026-08-03,Paradip,27,31,53.45,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0308.pdf
2026-08-04,Paradip,23,29,55.77,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0408.pdf
2026-08-05,Paradip,26,27,50.94,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0508.pdf
2026-08-06,Paradip,24,27,52.94,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0608.pdf
2026-08-07,Paradip,24,27,52.94,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0708.pdf
2026-08-08,Paradip,24,22,47.83,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0808.pdf
2026-08-09,Paradip,25,25,50.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr0908.pdf
2026-08-10,Paradip,22,27,55.1,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1008.pdf
2026-08-11,Paradip,27,25,48.08,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1108.pdf
2026-08-12,Paradip,26,26,50.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1208.pdf
2026-08-13,Paradip,22,28,56.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1308.pdf
2026-08-14,Paradip,25,25,50.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1408.pdf
2026-08-15,Paradip,25,26,50.98,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1508.pdf
2026-08-16,Paradip,25,28,52.83,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1608.pdf
2026-08-17,Paradip,27,23,46.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1708.pdf
2026-08-18,Paradip,23,23,50.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1808_compressed.pdf
2026-08-19,Paradip,24,25,51.02,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr1908.pdf
2026-08-20,Paradip,21,23,52.27,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2008.pdf
2026-08-21,Paradip,21,18,46.15,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2108.pdf
2026-08-22,Paradip,18,17,48.57,Severe,https://www.paradipport.gov.in/uploads/2026/08/DTR2208.pdf
2026-08-23,Paradip,25,17,40.48,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2308.pdf
2026-08-24,Paradip,23,20,46.51,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2408.pdf
