Date,Week,Month,Year,Truck,Rail,Barge,Gulf_Vessel,Pacific_Vessel
2002-08-28,34,8,2002,52.0,,39.14,52.96,52.4
2002-09-04,35,9,2002,52.0,,42.51,56.09,53.25
2002-09-11,36,9,2002,53.0,,44.34,57.72,57.77
2002-09-18,37,9,2002,53.0,,45.87,58.73,59.43
2002-09-25,38,9,2002,53.0,,48.01,62.29,61.47
2002-10-02,39,9,2002,54.0,,54.43,62.6,63.04
2002-10-09,40,10,2002,55.0,,61.16,61.33,65.61
2002-10-16,41,10,2002,55.0,,62.99,61.78,63.18
2002-10-23,42,10,2002,55.0,,63.91,62.93,64.56
2002-10-30,43,10,2002,55.0,,63.91,63.46,66.37
2002-11-06,44,11,2002,54.0,,66.36,63.82,68.5
2002-11-13,45,11,2002,54.0,,68.19,63.08,70.31
2002-11-20,46,11,2002,53.0,,65.44,61.81,72.83
2002-11-27,47,11,2002,53.0,,73.7,62.29,76.06
2002-12-04,48,12,2002,53.0,,66.05,63.29,81.19
2002-12-11,49,12,2002,53.0,,69.72,63.34,85.99
2002-12-18,50,12,2002,53.0,,53.21,64.0,89.55
2002-12-25,51,12,2002,54.0,,50.76,64.96,92.3
2003-01-01,52,12,2002,56.0,,48.93,64.96,92.49
2003-01-08,1,1,2003,57.0,,48.93,65.6,92.87
2003-01-15,2,1,2003,56.0,,72.47,69.31,97.01
2003-01-22,3,1,2003,56.0,,73.08,71.19,98.62
2003-01-29,4,1,2003,56.0,,68.19,67.02,88.79
2003-02-05,5,2,2003,58.0,,62.69,66.82,88.93
2003-02-12,6,2,2003,63.0,,54.43,69.16,91.97
2003-02-19,7,2,2003,64.0,,50.76,70.18,90.74
2003-02-26,8,2,2003,65.0,,51.37,71.37,91.88
2003-03-05,9,3,2003,66.0,,55.65,72.21,90.55
2003-03-12,10,3,2003,67.0,,57.79,74.14,88.65
2003-03-19,11,3,2003,66.0,,53.51,76.63,93.73
2003-03-26,12,3,2003,63.0,,47.09,76.51,94.2
2003-04-02,13,3,2003,60.0,,44.34,77.09,94.54
2003-04-09,14,4,2003,58.0,,43.73,78.79,99.62
2003-04-16,15,4,2003,58.0,,42.2,81.74,104.23
2003-04-23,16,4,2003,58.0,,39.45,82.2,103.37
2003-04-30,17,4,2003,57.0,,38.53,86.8,102.8
2003-05-07,18,5,2003,56.0,,39.14,88.84,102.23
2003-05-14,19,5,2003,54.0,,45.26,90.24,105.75
2003-05-21,20,5,2003,54.0,,43.12,86.91,110.74
2003-05-28,21,5,2003,54.0,,41.28,79.56,109.26
2003-06-04,22,6,2003,54.0,,40.67,79.58,106.32
2003-06-11,23,6,2003,54.0,,42.51,77.8,104.09
2003-06-18,24,6,2003,54.0,,45.56,77.32,107.03
2003-06-25,25,6,2003,54.0,,48.01,76.74,107.84
2003-07-02,26,6,2003,54.0,,48.93,78.03,109.83
2003-07-09,27,7,2003,54.0,,47.7,79.86,110.97
2003-07-16,28,7,2003,54.0,,47.09,81.97,112.07
2003-07-23,29,7,2003,54.0,,44.95,84.64,111.07
2003-07-30,30,7,2003,54.0,,46.17,82.89,106.98
2003-08-06,31,8,2003,55.0,,46.17,81.57,98.62
2003-08-13,32,8,2003,56.0,,49.69,86.04,103.42
2003-08-20,33,8,2003,57.0,,51.98,86.3,103.04
2003-08-27,34,8,2003,57.0,,57.49,84.31,97.05
2003-09-03,35,8,2003,57.0,,57.49,86.35,92.64
2003-09-10,36,9,2003,56.0,,60.85,88.71,93.11
2003-09-17,37,9,2003,55.0,,75.84,87.47,95.96
2003-09-24,38,9,2003,54.0,,83.48,85.56,108.41
2003-10-01,39,9,2003,54.0,,92.04,95.93,128.6
2003-10-08,40,10,2003,55.0,,91.13,107.7,155.91
2003-10-15,41,10,2003,56.0,,81.95,115.74,180.62
2003-10-22,42,10,2003,57.0,,93.27,116.32,182.14
2003-10-29,43,10,2003,57.0,,107.03,118.94,199.48
2003-11-05,44,11,2003,56.0,,84.7,120.72,197.2
2003-11-12,45,11,2003,56.0,,66.97,115.48,187.46
2003-11-19,46,11,2003,56.0,,59.02,114.37,186.03
2003-11-26,47,11,2003,56.0,,57.49,117.77,194.63
2003-12-03,48,11,2003,56.0,,61.16,124.94,199.24
2003-12-10,49,12,2003,56.0,,67.58,128.43,196.82
2003-12-17,50,12,2003,56.0,,65.44,130.38,198.62
2003-12-24,51,12,2003,57.0,,65.75,130.59,197.43
2003-12-31,52,12,2003,57.0,,61.46,,
2004-01-07,1,1,2004,57.0,,61.16,131.27,196.91
2004-01-14,2,1,2004,60.0,,61.16,147.9,214.44
2004-01-21,3,1,2004,59.0,,58.1,150.22,207.36
2004-01-28,4,1,2004,60.0,,63.6,158.23,208.5
2004-02-04,5,2,2004,60.0,,65.75,181.72,215.06
2004-02-11,6,2,2004,59.0,,59.94,175.97,208.69
2004-02-18,7,2,2004,60.0,,55.35,175.01,207.79
2004-02-25,8,2,2004,60.0,,48.32,185.63,212.64
2004-03-03,9,2,2004,61.0,,48.93,183.6,207.89
2004-03-10,10,3,2004,62.0,,45.56,185.89,213.44
2004-03-17,11,3,2004,61.0,,46.17,186.27,215.61
2004-03-24,12,3,2004,62.0,,43.73,185.69,209.07
2004-03-31,13,3,2004,62.0,,46.17,183.65,200.14
2004-04-07,14,4,2004,62.0,,44.95,184.94,196.94
2004-04-14,15,4,2004,63.0,,44.65,184.54,195.42
2004-04-21,16,4,2004,65.0,,42.81,182.14,196.76
2004-04-28,17,4,2004,65.0,,41.74,168.93,181.15
2004-05-05,18,5,2004,65.0,,41.59,161.04,170.95
2004-05-12,19,5,2004,66.0,,46.48,161.15,176.02
2004-05-19,20,5,2004,67.0,,51.68,133.26,144.87
2004-05-26,21,5,2004,66.0,,53.21,131.76,142.14
2004-06-02,22,5,2004,66.0,,51.68,130.74,135.48
2004-06-09,23,6,2004,65.0,,49.84,121.31,126.11
2004-06-16,24,6,2004,65.0,,46.48,110.75,124.13
2004-06-23,25,6,2004,64.0,,45.87,94.01,117.08
2004-06-30,26,6,2004,64.0,,46.17,97.46,125.75
2004-07-07,27,7,2004,65.0,,46.17,107.72,145.84
2004-07-14,28,7,2004,66.0,,44.65,123.65,171.79
2004-07-21,29,7,2004,66.0,,46.79,122.58,158.6
2004-07-28,30,7,2004,66.0,,59.94,125.75,149.94
2004-08-04,31,8,2004,67.0,,64.22,131.57,155.94
2004-08-11,32,8,2004,68.0,,67.27,127.17,148.12
2004-08-18,33,8,2004,69.0,,69.72,129.59,151.52
2004-08-25,34,8,2004,71.0,,68.5,134.36,154.89
2004-09-01,35,8,2004,71.0,,67.58,134.29,152.32
2004-09-08,36,9,2004,71.0,,69.72,131.92,151.91
2004-09-15,37,9,2004,71.0,,108.56,134.07,159.11
2004-09-22,38,9,2004,72.0,,115.9,136.38,169.26
2004-09-29,39,9,2004,76.0,,131.18,135.94,168.54
2004-10-06,40,10,2004,77.0,,128.13,136.56,167.24
2004-10-13,41,10,2004,79.0,,103.97,140.08,172.5
2004-10-20,42,10,2004,82.0,,101.83,146.01,184.1
2004-10-27,43,10,2004,83.0,,129.35,152.68,190.12
2004-11-03,44,10,2004,83.0,,112.84,153.73,188.53
2004-11-10,45,11,2004,82.0,,113.45,154.61,185.82
2004-11-17,46,11,2004,80.0,,91.43,155.72,194.57
2004-11-24,47,11,2004,80.0,,72.17,163.67,214.19
2004-12-01,48,11,2004,80.0,,73.39,178.92,236.89
2004-12-08,49,12,2004,78.0,,74.92,176.55,231.25
2004-12-15,50,12,2004,75.0,,92.04,160.77,206.89
2004-12-22,51,12,2004,75.0,,105.74,154.41,187.92
2004-12-29,52,12,2004,75.0,,91.74,,
2005-01-05,1,1,2005,74.0,,79.81,148.17,173.16
2005-01-12,2,1,2005,73.0,,99.08,158.31,185.85
2005-01-19,3,1,2005,74.0,,110.39,152.99,175.28
