"Date","Week","Month","Year","Truck","Rail","Barge","Gulf_Vessel","Pacific_Vessel"
"08/26/2026","34","8","2026","213","128","195.1","185.61","174.58"
"08/19/2026","33","8","2026","206","125","211.61","184.97","173.4"
"08/12/2026","32","8","2026","198","122","218.34","181.8","174.58"
"08/05/2026","31","8","2026","202","122","230.26","176.71","172.21"
"07/29/2026","30","7","2026","200","122","230.26","177.35","172.21"
"07/22/2026","29","7","2026","194","121","209.77","176.71","173.4"
"07/15/2026","28","7","2026","181","122","204.58","174.17","166.27"
"07/08/2026","27","7","2026","173","122","176.75","171.62","169.83"
"07/01/2026","26","6","2026","176","122","169.41","176.71","171.02"
"06/24/2026","25","6","2026","182","123","169.41","181.8","174.58"
"06/17/2026","24","6","2026","191","125","169.1","183.07","175.77"
"06/10/2026","23","6","2026","197","128","170.63","182.43","176.96"
"06/03/2026","22","5","2026","202","128","175.52","183.7","176.96"
"05/27/2026","21","5","2026","208","129","178.58","180.52","176.96"
"05/20/2026","20","5","2026","211","138","182.86","183.07","176.96"
"05/13/2026","19","5","2026","213","135","182.25","172.9","172.21"
"05/06/2026","18","5","2026","213","131","183.78","170.99","169.83"
"04/29/2026","17","4","2026","202","128","186.53","169.08","166.27"
"04/22/2026","16","4","2026","204","130","186.23","170.35","168.65"
"04/15/2026","15","4","2026","212","125","186.84","164.63","165.08"
"04/08/2026","14","4","2026","213","127","185.31","161.45","161.52"
"04/01/2026","13","3","2026","204","123","186.84","155.73","161.52"
"03/25/2026","12","3","2026","203","121","188.98","158.28","162.71"
"03/18/2026","11","3","2026","191","120","189.29","153.22","160.33"
"03/11/2026","10","3","2026","183","120","185.92","147.47","156.77"
"03/04/2026","9","3","2026","147","119","208.86","138.57","148.46"
"02/25/2026","8","2","2026","144","119","230.26","137.94","144.89"
"02/18/2026","7","2","2026","140","116","225.98","137.94","143.71"
"02/11/2026","6","2","2026","139","118","217.42","136.66","142.52"
"02/04/2026","5","2","2026","139","124","225.06","131.58","137.77"
"01/28/2026","4","1","2026","137","125","218.03","129.04","135.39"
"01/21/2026","3","1","2026","133","122","201.21","125.22","130.64"
"01/14/2026","2","1","2026","131","120","195.71","124.59","130.64"
"01/07/2026","1","1","2026","131","124","187.76","127.13","125.89"
"12/31/2025","52","12","2025","132","125","178.89",,
"12/24/2025","51","12","2025","134","129","182.25","137.94","133.02"
"12/17/2025","50","12","2025","136","122","184.39","142.38","140.14"
"12/10/2025","49","12","2025","138","125","167.27","144.93","141.33"
"12/03/2025","48","11","2025","142","124","162.45",,
"11/26/2025","47","11","2025","145","122","164.52","144.93","141.33"
"11/19/2025","46","11","2025","146","121","164.82","143.66","138.95"
"11/12/2025","45","11","2025","145","137","171.55","142.38","135.39"
"11/05/2025","44","11","2025","142","130","184.7","144.93","141.33"
"10/29/2025","43","10","2025","140","130","184.7","145.56","142.52"
"10/22/2025","42","10","2025","137","126","193.87","144.93","141.33"
"10/15/2025","41","10","2025","138","124","196.01","143.02","138.95"
"10/08/2025","40","10","2025","140","124","185.92","143.66","140.14"
"10/01/2025","39","9","2025","142","122","203.05","145.56","141.33"
"09/24/2025","38","9","2025","141","121","213.14","147.47","141.33"
"09/17/2025","37","9","2025","141","114","219.25","145.56","141.33"
"09/10/2025","36","9","2025","142","113","203.66","142.38","138.95"
"09/03/2025","35","8","2025","141","111","187.45","142.38","138.95"
"08/27/2025","34","8","2025","140","110","178.28","135.39","135.39"
"08/20/2025","33","8","2025","140","111","176.14","136.03","136.58"
"08/13/2025","32","8","2025","142","112","170.63","137.3","136.58"
"08/06/2025","31","8","2025","143","113","172.16","138.57","136.58"
"07/30/2025","30","7","2025","144","113","183.17","138.57","140.14"
"07/23/2025","29","7","2025","144","114","182.56","134.12","140.14"
"07/16/2025","28","7","2025","142","114","168.19","123.95","134.2"
"07/09/2025","27","7","2025","141","114","144.33","122.68","133.02"
"07/02/2025","26","6","2025","141","113","134.55","121.41","129.45"
"06/25/2025","25","6","2025","142","112","127.82","121.41","129.45"
"06/18/2025","24","6","2025","135","113","130.88","117.59","128.27"
"06/11/2025","23","6","2025","131","113","131.18","116.32","125.89"
"06/04/2025","22","6","2025","130","112","133.63","116.96","127.08"
"05/28/2025","21","5","2025","132","115","135.16","117.59","128.27"
"05/21/2025","20","5","2025","133","114","134.85","117.59","128.27"
"05/14/2025","19","5","2025","131","115","137.3","117.59","129.45"
"05/07/2025","18","5","2025","132","114","146.17","117.59","129.45"
"04/30/2025","17","4","2025","133","115","141.89","116.32","128.27"
"04/23/2025","16","4","2025","133","116","141.89","115.05","127.08"
"04/16/2025","15","4","2025","135","118","164.52","116.96","128.27"
"04/09/2025","14","4","2025","137","118","177.67","121.41","135.39"
"04/02/2025","13","3","2025","136","122","186.53","121.41","133.02"
"03/26/2025","12","3","2025","135","126","182.86","120.77","130.64"
"03/19/2025","11","3","2025","134","132","175.83","117.59","128.27"
"03/12/2025","10","3","2025","135","139","176.44","117.59","128.27"
"03/05/2025","9","3","2025","137","128","169.71","118.23","130.64"
"02/26/2025","8","2","2025","140","136","166.35","117.59","129.45"
"02/19/2025","7","2","2025","139","139","166.05","117.59","128.27"
"02/12/2025","6","2","2025","138","124","165.13","115.69","127.08"
"02/05/2025","5","2","2025","138","118","165.74","113.78","122.33"
"01/29/2025","4","1","2025","138","121","158.4","115.05","124.7"
"01/22/2025","3","1","2025","140","119","154.73","116.32","124.7"
"01/15/2025","2","1","2025","136","115","155.95","117.59","123.52"
"01/08/2025","1","1","2025","134","119","155.95","116.32","125.89"
"01/01/2025","52","12","2024","132","117","156.57",,
"12/25/2024","51","12","2024","131","116","155.34","116.32","129.45"
"12/18/2024","50","12","2024","132","115","155.34","118.23","131.83"
"12/11/2024","49","12","2024","130","119","151.37","116.96","131.83"
"12/04/2024","48","12","2024","134","118","151.37",,
"11/27/2024","47","11","2024","134","118","163.6","123.32","136.58"
"11/20/2024","46","11","2024","132","116","164.21","126.49","140.14"
"11/13/2024","45","11","2024","133","120","171.55","127.77","140.14"
"11/06/2024","44","11","2024","133","130","196.93","130.31","141.33"
"10/30/2024","43","10","2024","135","140","266.35","132.85","142.52"
"10/23/2024","42","10","2024","134","144","241.88","137.94","142.52"
"10/16/2024","41","10","2024","137","143","241.58","140.48","143.71"
"10/09/2024","40","10","2024","135","142","249.53","140.48","143.71"
"10/02/2024","39","9","2024","134","148","247.39","142.38","144.89"
"09/25/2024","38","9","2024","134","132","241.27","141.11","144.89"
"09/18/2024","37","9","2024","133","129","242.49","139.21","140.14"
"09/11/2024","36","9","2024","134","124","233.63","142.38","142.52"
"09/04/2024","35","9","2024","137","120","205.49","142.38","142.52"
"08/28/2024","34","8","2024","138","116","187.76","145.56","144.89"
"08/21/2024","33","8","2024","139","118","161.76","151.28","147.27"
"08/14/2024","32","8","2024","140","120","137.91","152.56","148.46"
"08/07/2024","31","8","2024","142","117","135.47","153.83","150.83"
"07/31/2024","30","7","2024","142","121","133.02","152.56","150.83"
"07/24/2024","29","7","2024","143","122","130.27","152.56","150.83"
"07/17/2024","28","7","2024","144","123","110.09","150.01","149.64"
"07/10/2024","27","7","2024","146","127","97.55","152.56","150.83"
"07/03/2024","26","6","2024","144","122","97.24","153.19","152.02"
"06/26/2024","25","6","2024","142","118","94.8","153.19","154.39"
"06/19/2024","24","6","2024","141","118","96.63","152.56","154.39"
"06/12/2024","23","6","2024","138","117","96.94","151.28","152.02"
"06/05/2024","22","6","2024","141","117","96.32","152.56","153.21"
"05/29/2024","21","5","2024","142","117","96.32","156.37","156.77"
"05/22/2024","20","5","2024","143","119","97.85","157.64","156.77"
"05/15/2024","19","5","2024","145","118","102.13","161.45","161.52"
"05/08/2024","18","5","2024","147","116","96.32","157.64","157.96"
"05/01/2024","17","4","2024","149","115","90.51","157.64","157.96"
"04/24/2024","16","4","2024","151","116","83.18","157","157.96"
"04/17/2024","15","4","2024","152","116","90.21","151.92","148.46"
"04/10/2024","14","4","2024","153","118","96.63","155.73","155.58"
"04/03/2024","13","3","2024","151","123","102.75","158.28","156.77"
"03/27/2024","12","3","2024","152","132","108.86","160.18","160.33"
"03/20/2024","11","3","2024","152","130","115.28","155.73","159.14"
"03/13/2024","10","3","2024","151","147","111","153.19","156.77"
"03/06/2024","9","3","2024","152","136","107.33","150.65","152.02"
"02/28/2024","8","2","2024","153","133","113.14","152.56","152.02"
"02/21/2024","7","2","2024","155","124","129.35","149.38","147.27"
"02/14/2024","6","2","2024","155","131","131.49","148.11","147.27"
"02/07/2024","5","2","2024","147","128","137.91","148.74","149.64"
"01/31/2024","4","1","2024","146","130","132.41","150.01","149.64"
"01/24/2024","3","1","2024","145","125","132.41","146.83","144.89"
"01/17/2024","2","1","2024","146","121","131.8","146.83","144.89"
"01/10/2024","1","1","2024","144","121","128.74","154.46","150.83"
"01/03/2024","53","12","2023","146","125","123.54","154.46","150.83"
"12/27/2023","52","12","2023","148","126","122.62",,
"12/20/2023","51","12","2023","147","126","115.59","154.46","150.83"
"12/13/2023","50","12","2023","150","125","114.67","162.09","156.77"
"12/06/2023","49","12","2023","154","124","121.4","159.55","154.39"
"11/29/2023","48","11","2023","156","125","130.88",,
"11/22/2023","47","11","2023","159","125","141.58","144.93","140.14"
"11/15/2023","46","11","2023","162","124","151.37","142.38","137.77"
"11/08/2023","45","11","2023","165","121","156.87","142.38","136.58"
"11/01/2023","44","10","2023","168","120","172.16","144.93","140.14"
"10/25/2023","43","10","2023","172","120","194.48","144.93","141.33"
"10/18/2023","42","10","2023","168","119","179.19","144.93","142.52"
"10/11/2023","41","10","2023","170","126","201.21","146.2","144.89"
"10/04/2023","40","10","2023","173","127","302.12","146.2","144.89"
"09/27/2023","39","9","2023","173","133","305.79","146.2","144.89"
"09/20/2023","38","9","2023","175","129","256.56","137.3","137.77"
"09/13/2023","37","9","2023","171","120","233.93","137.3","137.77"
"09/06/2023","36","9","2023","170","116","197.24","136.03","135.39"
"08/30/2023","35","8","2023","169","116","178.58","132.21","130.64"
"08/23/2023","34","8","2023","166","115","121.71","132.21","130.64"
"08/16/2023","33","8","2023","165","113","122.93","122.04","123.52"
"08/09/2023","32","8","2023","160","113","126.29","118.23","123.52"
"08/02/2023","31","7","2023","156","114","120.79","114.42","118.76"
"07/26/2023","30","7","2023","148","114","116.51","118.23","121.14"
"07/19/2023","29","7","2023","144","114","112.53","118.87","122.33"
"07/12/2023","28","7","2023","144","111","94.8","117.59","121.14"
"07/05/2023","27","7","2023","142","110","79.2","120.77","123.52"
"06/28/2023","26","6","2023","143","112","74","123.32","125.89"
"06/21/2023","25","6","2023","144","112","73.08","123.32","128.27"
"06/14/2023","24","6","2023","143","112","72.17","122.04","125.89"
"06/07/2023","23","6","2023","143","112","74.92","122.04","125.89"
"05/31/2023","22","5","2023","145","112","77.98","127.13","130.64"
"05/24/2023","21","5","2023","147","112","83.48","129.67","134.2"
"05/17/2023","20","5","2023","147","112","88.07","130.31","135.39"
"05/10/2023","19","5","2023","148","113","87.76","135.39","142.52"
"05/03/2023","18","4","2023","152","113","107.03","139.21","142.52"
"04/26/2023","17","4","2023","154","115","125.68","139.21","142.52"
"04/19/2023","16","4","2023","155","116","142.81","141.75","142.52"
"04/12/2023","15","4","2023","155","115","162.38","141.11","142.52"
"04/05/2023","14","4","2023","155","114","171.55","132.21","137.77"
"03/29/2023","13","3","2023","156","116","174.61","132.21","137.77"
"03/22/2023","12","3","2023","158","116","162.07","136.03","144.89"
"03/15/2023","11","3","2023","160","117","152.28","133.49","140.14"
"03/08/2023","10","3","2023","162","114","148.92","133.49","137.77"
"03/01/2023","9","2","2023","162","116","145.56","123.32","125.89"
"02/22/2023","8","2","2023","165","116","153.51","121.41","123.52"
"02/15/2023","7","2","2023","168","114","156.87","122.04","130.64"
"02/08/2023","6","2","2023","171","116","183.17","127.13","134.2"
"02/01/2023","5","1","2023","174","120","204.88","130.94","134.2"
"01/25/2023","4","1","2023","174","126","200.6","130.94","134.2"
"01/18/2023","3","1","2023","171","132","192.65","132.85","134.2"
"01/11/2023","2","1","2023","172","137","198.15","137.3","144.89"
"01/04/2023","1","1","2023","173","147","270.93","142.38","149.64"
"12/28/2022","52","12","2022","171","146","282.86",,
"12/21/2022","51","12","2022","173","138","286.22","144.93","152.02"
"12/14/2022","50","12","2022","179","131","280.11","145.56","152.02"
"12/07/2022","49","12","2022","187","132","268.49","144.93","153.21"
"11/30/2022","48","11","2022","194","128","287.14",,
"11/23/2022","47","11","2022","197","125","288.67","147.47","157.96"
"11/16/2022","46","11","2022","200","136","368.79","146.2","161.52"
"11/09/2022","45","11","2022","201","136","372.15","147.47","161.52"
"11/02/2022","44","10","2022","201","159","588.65","157.64","168.65"
"10/26/2022","43","10","2022","202","153","632.07","160.82","175.77"
"10/19/2022","42","10","2022","201","167","592.63","162.09","175.77"
"10/12/2022","41","10","2022","197","160","634.52","155.73","171.02"
"10/05/2022","40","10","2022","182","153","575.2","155.1","171.02"
"09/28/2022","39","9","2022","184","136","353.8","155.1","171.02"
"09/21/2022","38","9","2022","187","147","291.11","156.37","173.4"
"09/14/2022","37","9","2022","190","120","249.83","147.47","159.14"
"09/07/2022","36","9","2022","192","117","197.85","144.93","159.14"
"08/31/2022","35","8","2022","193","118","156.87","156.37","168.65"
"08/24/2022","34","8","2022","185","125","141.89","160.18","173.4"
"08/17/2022","33","8","2022","185","117","137","166.54","180.52"
"08/10/2022","32","8","2022","188","116","136.69","169.08","187.65"
"08/03/2022","31","7","2022","194","113","138.83","174.17","192.4"
"07/27/2022","30","7","2022","199","114","151.37","175.44","192.4"
"07/20/2022","29","7","2022","205","114","140.36","180.52","194.77"
"07/13/2022","28","7","2022","210","113","124.76","190.69","205.46"
"07/06/2022","27","7","2022","214","112","123.54","194.51","209.03"
"06/29/2022","26","6","2022","218","109","129.66","200.86","213.78"
"06/22/2022","25","6","2022","219","110","149.53","202.14","214.96"
"06/15/2022","24","6","2022","216","117","143.42","202.14","214.96"
"06/08/2022","23","6","2022","215","132","133.02","204.04","218.53"
"06/01/2022","22","5","2022","209","129","134.85","207.22","223.28"
"05/25/2022","21","5","2022","210","125","133.02","209.76","223.28"
"05/18/2022","20","5","2022","212","138","142.81","208.49","220.9"
"05/11/2022","19","5","2022","212","152","159.93","202.14","211.4"
"05/04/2022","18","5","2022","208","133","168.8","200.86","210.21"
"04/27/2022","17","4","2022","195","144","173.38","200.86","212.59"
"04/20/2022","16","4","2022","192","152","186.84","199.59","210.21"
"04/13/2022","15","4","2022","191","147","246.16","197.05","207.84"
"04/06/2022","14","4","2022","194","130","273.38","199.59","209.03"
"03/30/2022","13","3","2022","196","154","248.92","199.59","209.03"
"03/23/2022","12","3","2022","194","148","258.7","189.42","203.09"
"03/16/2022","11","3","2022","198","134","302.73","200.86","210.21"
"03/09/2022","10","3","2022","183","118","273.07","180.52","186.46"
"03/02/2022","9","2","2022","155","110","188.67","174.17","181.71"
"02/23/2022","8","2","2022","153","108","170.02","167.81","172.21"
"02/16/2022","7","2","2022","152","108","211.91","165.27","171.02"
"02/09/2022","6","2","2022","149","122","220.48","155.1","161.52"
"02/02/2022","5","1","2022","145","130","266.35","158.91","163.9"
"01/26/2022","4","1","2022","143","132","262.98","164","166.27"
"01/19/2022","3","1","2022","141","136","259.92","174.17","178.15"
"01/12/2022","2","1","2022","138","153","214.05","179.25","184.09"
"01/05/2022","1","1","2022","136","140","172.47","175.44","176.96"
"12/29/2021","52","12","2021","136","134","218.64",,
"12/22/2021","51","12","2021","137","124","225.67","177.98","176.96"
"12/15/2021","50","12","2021","138","126","200.29","184.34","185.27"
"12/08/2021","49","12","2021","139","113","174.91","180.52","178.15"
"12/01/2021","48","11","2021","140","113","146.78",,
"11/24/2021","47","11","2021","141","113","143.11","177.98","178.15"
"11/17/2021","46","11","2021","141","113","139.75","198.32","199.52"
"11/10/2021","45","11","2021","141","112","155.34","214.85","214.96"
"11/03/2021","44","10","2021","141","110","144.64","227.56","232.78"
"10/27/2021","43","10","2021","140","109","179.81","231.38","237.53"
"10/20/2021","42","10","2021","139","107","192.65","215.48","223.28"
"10/13/2021","41","10","2021","135","106","151.37","214.21","220.9"
"10/06/2021","40","10","2021","131","110","211.61","214.21","220.9"
"09/29/2021","39","9","2021","129","117","238.21","209.76","216.15"
"09/22/2021","38","9","2021","128","120","216.81","207.22","213.78"
"09/15/2021","37","9","2021","127","108","183.17","204.04","210.21"
"09/08/2021","36","9","2021","127","104","172.16","209.13","212.59"
"09/01/2021","35","8","2021","126","102","131.49","208.49","211.4"
"08/25/2021","34","8","2021","125","102","115.59","207.22","209.03"
"08/18/2021","33","8","2021","127","100","113.14","200.86","204.28"
"08/11/2021","32","8","2021","127","100","106.42","200.86","204.28"
"08/04/2021","31","8","2021","127","101","103.05","205.95","204.28"
"07/28/2021","30","7","2021","126","99","85.62","205.95","209.03"
"07/21/2021","29","7","2021","126","98","84.4","213.58","213.78"
"07/14/2021","28","7","2021","126","97","84.09","216.12","219.71"
"07/07/2021","27","7","2021","126","97","84.09","208.49","218.53"
"06/30/2021","26","6","2021","125","96","85.93","190.69","204.28"
"06/23/2021","25","6","2021","124","96","90.21","186.88","201.9"
"06/16/2021","24","6","2021","124","96","92.96","172.9","185.27"
"06/09/2021","23","6","2021","124","96","94.18","167.81","181.71"
"06/02/2021","22","5","2021","123","96","101.83","167.81","182.9"
"05/26/2021","21","5","2021","123","97","115.59","167.81","182.9"
"05/19/2021","20","5","2021","123","100","114.37","170.35","187.65"
"05/12/2021","19","5","2021","120","100","118.65","165.27","180.52"
"05/05/2021","18","5","2021","119","99","103.97","160.18","173.4"
"04/28/2021","17","4","2021","118","101","105.8","158.91","173.4"
"04/21/2021","16","4","2021","118","102","105.5","147.47","161.52"
"04/14/2021","15","4","2021","118","109","103.36","155.1","168.65"
"04/07/2021","14","4","2021","119","104","109.78","156.37","171.02"
"03/31/2021","13","3","2021","119","101","113.75","156.37","171.02"
"03/24/2021","12","3","2021","121","105","115.59","153.19","166.27"
"03/17/2021","11","3","2021","120","106","116.51","146.83","154.39"
"03/10/2021","10","3","2021","119","108","113.75","146.2","153.21"
"03/03/2021","9","2","2021","116","101","116.51","146.2","153.21"
"02/24/2021","8","2","2021","112","105","132.71","137.3","153.21"
"02/17/2021","7","2","2021","109","107","132.71","124.59","128.27"
"02/10/2021","6","2","2021","106","100","127.21","118.87","127.08"
"02/03/2021","5","1","2021","103","103","128.43","118.23","127.08"
"01/27/2021","4","1","2021","102","109","120.79","117.59","125.89"
"01/20/2021","3","1","2021","102","109","140.66","116.96","125.89"
"01/13/2021","2","1","2021","101","104","136.08","109.97","116.39"
"01/06/2021","1","1","2021","100","108","127.82","106.79","112.83"
"12/30/2020","52","12","2020","99","110","127.82",,
"12/23/2020","51","12","2020","99","108","126.29","106.79","112.83"
"12/16/2020","50","12","2020","97","106","131.8","105.52","110.45"
"12/09/2020","49","12","2020","95","100","127.52","105.52","110.45"
"12/02/2020","48","11","2020","94","101","142.19",,
"11/25/2020","47","11","2020","93","100","141.58","105.52","109.26"
"11/18/2020","46","11","2020","92","101","157.48","104.88","108.08"
"11/11/2020","45","11","2020","90","107","203.35","107.42","110.45"
"11/04/2020","44","11","2020","90","109","182.25","108.06","111.64"
"10/28/2020","43","10","2020","90","108","157.79","108.06","112.83"
"10/21/2020","42","10","2020","90","113","192.34","109.33","112.83"
"10/14/2020","41","10","2020","90","114","193.87","109.97","112.83"
"10/07/2020","40","10","2020","90","116","156.87","109.97","112.83"
"09/30/2020","39","9","2020","90","126","145.86","109.97","112.83"
"09/23/2020","38","9","2020","91","122","138.22","110.6","112.83"
"09/16/2020","37","9","2020","91","115","118.65","111.87","114.01"
"09/09/2020","36","9","2020","92","109","109.47","114.42","117.58"
"09/02/2020","35","8","2020","92","117","111.61","114.42","117.58"
"08/26/2020","34","8","2020","92","112","111","113.15","115.2"
"08/19/2020","33","8","2020","92","106","113.14","113.15","115.2"
"08/12/2020","32","8","2020","92","106","105.19","108.06","108.08"
"08/05/2020","31","8","2020","91","111","111.31","105.52","103.33"
"07/29/2020","30","7","2020","92","106","114.67","105.52","98.57"
"07/22/2020","29","7","2020","92","105","104.89","108.06","102.14"
"07/15/2020","28","7","2020","92","102","88.99","100.43","99.76"
"07/08/2020","27","7","2020","92","101","90.21","100.43","97.39"
"07/01/2020","26","6","2020","92","102","88.07","99.8","97.39"
"06/24/2020","25","6","2020","92","101","86.54","95.98","95.01"
"06/17/2020","24","6","2020","91","104","81.95","90.26","89.07"
"06/10/2020","23","6","2020","90","102","89.9","88.99","87.89"
"06/03/2020","22","5","2020","90","101","86.54","87.08","85.51"
"05/27/2020","21","5","2020","90","101","88.07","86.45","84.32"
"05/20/2020","20","5","2020","90","100","85.32","86.45","84.32"
"05/13/2020","19","5","2020","90","98","79.2","88.99","86.7"
"05/06/2020","18","5","2020","91","100","78.59","91.53","89.07"
"04/29/2020","17","4","2020","92","101","82.87","94.71","91.45"
"04/22/2020","16","4","2020","94","102","86.54","97.25","93.82"
"04/15/2020","15","4","2020","95","102","94.18","98.53","93.82"
"04/08/2020","14","4","2020","96","102","100.91","98.53","93.82"
"04/01/2020","13","3","2020","98","102","100.91","99.16","95.01"
"03/25/2020","12","3","2020","100","103","92.96","104.88","100.95"
"03/18/2020","11","3","2020","103","100","85.01","109.97","110.45"
"03/11/2020","10","3","2020","106","103","84.09","111.24","112.83"
"03/04/2020","9","3","2020","108","100","88.07","110.6","111.64"
"02/26/2020","8","2","2020","109","102","86.85","109.97","108.08"
"02/19/2020","7","2","2020","109","97","89.29","108.7","105.7"
"02/12/2020","6","2","2020","110","97","90.51","106.79","104.51"
"02/05/2020","5","2","2020","112","100","93.88","114.42","115.2"
"01/29/2020","4","1","2020","114","103","99.69","115.69","117.58"
"01/22/2020","3","1","2020","115","103","101.83","116.96","117.58"
"01/15/2020","2","1","2020","116","94","102.13","114.42","115.2"
"01/08/2020","1","1","2020","116","95","94.8","116.32","118.76"
"01/01/2020","52","12","2019","116","97","96.32",,
"12/25/2019","51","12","2019","115","96","97.24","118.23","121.14"
"12/18/2019","50","12","2019","115","96","103.36","120.14","122.33"
"12/11/2019","49","12","2019","115","92","104.89","118.87","119.95"
"12/04/2019","48","12","2019","116","96","107.33",,
"11/27/2019","47","11","2019","116","102","113.45","117.59","117.58"
"11/20/2019","46","11","2019","116","101","121.09","118.23","117.58"
"11/13/2019","45","11","2019","116","105","123.23","123.32","124.7"
"11/06/2019","44","11","2019","116","105","105.19","125.86","128.27"
"10/30/2019","43","10","2019","116","101","112.23","128.4","133.02"
"10/23/2019","42","10","2019","115","105","120.48","130.94","135.39"
"10/16/2019","41","10","2019","115","103","113.14","130.94","135.39"
"10/09/2019","40","10","2019","115","103","117.42","130.31","135.39"
"10/02/2019","39","9","2019","116","97","110.09","130.94","136.58"
"09/25/2019","38","9","2019","116","97","113.75","132.85","140.14"
"09/18/2019","37","9","2019","113","98","115.9","132.21","141.33"
"09/11/2019","36","9","2019","112","96","120.18","133.49","142.52"
"09/04/2019","35","9","2019","112","96","134.24","131.58","138.95"
"08/28/2019","34","8","2019","113","98","143.11","129.67","135.39"
"08/21/2019","33","8","2019","113","99","144.03","128.4","131.83"
"08/14/2019","32","8","2019","114","99","158.71","124.59","128.27"
"08/07/2019","31","8","2019","114","98","164.52","125.86","130.64"
"07/31/2019","30","7","2019","114","98","157.79","128.4","133.02"
"07/24/2019","29","7","2019","115","100","162.99","125.86","128.27"
"07/17/2019","28","7","2019","115","101","152.9","118.23","121.14"
"07/10/2019","27","7","2019","115","101","138.52","113.15","115.2"
